S_No,Food_Name,Ingredients,Veg/Non-veg,Course
1,Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,snack
2,Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,snack
3,Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,snack
4,Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",vegetarian,snack
5,Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,snack
6,Aloo paratha,"Wheat flour, butter, potato, coriander",vegetarian,snack
7,Gobhi paratha,"Wheat flour, butter, cauliflower, coriander",vegetarian,snack
8,Aloo gobhi paratha,"Wheat flour, butter, potato, cauliflower, coriander",vegetarian,snack
9,Pudina paratha,"Wheat flour, butter, potato, pudina, coriander",vegetarian,snack
10,Meethi paratha,"Wheat flour, butter, potato, meethi, coriander",vegetarian,snack
11,Pyaz paratha,"Wheat flour, butter, onion, coriander",vegetarian,snack
12,Samosa,"Potatoes, green peas, garam masala, ginger, all purpose flour",vegetarian,snack
13,Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,snack
14,Neer dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt, water",vegetarian,snack
15,Idiappam,"Rice flour, hot water, grated coconut",vegetarian,snack
16,Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,snack
17,Kanji,"Carrot, yellow mustard, red chilli, black salt",vegetarian,snack
18,Corn Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha, sweet corn",vegetarian,snack
19,Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,snack
20,Butter Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha, butter",vegetarian,snack
21,Cheese Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha, cheese",vegetarian,snack
22,Ghee Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha, ghee",vegetarian,snack
23,Mysore Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,snack
24,Paneer Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha, paneer",vegetarian,snack
25,Paneer Cheese Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha, paneer, cheese",vegetarian,snack
26,Egg Masala Dosa,"Chana dal, urad dal, onion, idli rice, thick poha, egg",non vegetarian,snack
27,Chicken Masala Dosa,"Chana dal, urad dal, onion, idli rice, thick poha, chicken",non vegetarian,snack
28,Papadum,"Lentils, black pepper, vegetable oil",vegetarian,snack
